ID,AREA,DATA,MUN,DIST,CLAS_CEM,CATEG,INSTANC,NOM_TIPO,NOM_PREP,NOME,NOM_ETIQ,NOM_TP_A,NOM_PR_A,NOM_A,NOM_ET_A,ANO,AREA_M2,AREA_HA,AREA_KM2,GESTAO,OBS,FAIXA_AREA
18025,0.216616,3,EMBU DAS ARTES,EMBU DAS ARTES,VERDE 3,PARQUE URBANO,MUNICIPAL,PARQUE,DO,LAGO FRANCISCO RIZZO,PARQUE DO LAGO FRANCISCO RIZZO,Parque,do,Lago Francisco Rizzo,Parque do Lago Francisco Rizzo,,216615,21.661556,0.216616,,,10-50 ha
18039,1.791937,4,EMBU DAS ARTES,EMBU DAS ARTES,VERDE 2,PARQUE URBANO,MUNICIPAL,PARQUE,DA,VARZEA DO EMBU MIRIM,PARQUE DA VARZEA DO EMBU MIRIM,Parque,da,Várzea do Embu Mirim,Parque da Várzea do Embu Mirim,2010.0,1791857,179.185712,1.791857,,PERIMETRO APROXIMADO,>100 ha
18053,0.819312,5,COTIA,COTIA,VERDE 2,PARQUE URBANO,MUNICIPAL,PARQUE,,CEMUCAM,PARQUE CEMUCAM,Parque,,Cemucam,Parque Cemucam,1968.0,819312,81.931206,0.819312,,PERTENCE AO MUNICÍPIO DE SAO PAULO,50-100 ha
18067,1.386495,345,SAO PAULO,RAPOSO TAVARES,VERDE 2,PARES,ESTADUAL,PARQUE,,JEQUITIBA,PARES JEQUITIBA,Parque,,Jequitibá,PARES Jequitibá,2019.0,1386495,138.649538,1.386495,SIMA - COORDENADORIA DE PARQUES E PARCERIAS,,>100 ha
18081,3.762396,364,SAO PAULO,GRAJAU,VERDE 2,PNM,MUNICIPAL,PARQUE NATURAL,,JACEGUAVA,PARQUE NATURAL JACEGUAVA,Parque Natural,,Jaceguava,Parque Natural Jaceguava,,3762395,376.239575,3.762396,PREFEITURA MUNICIPAL (SVMA),,>100 ha
18105,0.11017,358,SAO PAULO,PARELHEIROS,VERDE 4,PARQUE URBANO,MUNICIPAL,PARQUE,,NASCENTES DO RIBEIRAO COCAIA,PARQUE NASCENTES DO RIBEIRAO COCAIA,Parque,,Nascentes do Ribeirao Colônia,Parque Nascentes do Ribeirao Colônia,2020.0,110169,11.016969,0.11017,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,10-50 ha
18119,0.016529,359,SAO PAULO,PARELHEIROS,VERDE 6,PARQUE LINEAR,MUNICIPAL,PARQUE,,PARELHEIROS,PARQUE PARELHEIROS,Parque,,Parelheiros,Parque Parelheiros,2007.0,16529,1.652948,0.016529,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,1-5 ha
18133,4.435268,363,SAO PAULO,PARELHEIROS,VERDE 2,PNM,MUNICIPAL,PARQUE NATURAL,,ITAIM,PARQUE NATURAL ITAIM,Parque Natural,,Itaim,Parque Natural Itaim,,4435316,443.53165,4.435316,PREFEITURA MUNICIPAL (SVMA),,>100 ha
18150,4.896779,362,SAO PAULO,PARELHEIROS,VERDE 2,PNM,MUNICIPAL,PARQUE NATURAL,,VARGINHA,PARQUE NATURAL VARGINHA,Parque Natural,,Varginha,Parque Natural Varginha,,4896779,489.6779,4.896779,PREFEITURA MUNICIPAL (SVMA),,>100 ha
18169,0.113487,365,SAO PAULO,CIDADE DUTRA,VERDE 4,PARQUE LINEAR,MUNICIPAL,PARQUE,,RIBEIRAO CAULIM,PARQUE RIBEIRAO CAULIM,Parque,,Ribeirao Caulim,Parque Ribeirao Caulim,,113487,11.348716,0.113487,SECRETARIA DO VERDE E MEIO AMBIENTE (DGPU),,10-50 ha
